order_item_key,order_key,product_key,seller_key,price,freight_value
116,83421,7976,2262,84.90,34.39
117,7714,3679,2460,189.00,33.91
118,26244,31145,711,49.00,7.78
119,85920,8157,2049,37.90,15.37
120,43216,2278,1177,179.93,16.14
121,10180,10194,2289,116.90,13.84
122,47316,27834,652,94.90,15.51
123,92359,30864,1783,121.99,15.73
124,24614,5574,2989,7.79,7.78
125,2340,5819,423,179.99,85.97
126,47264,30150,612,7.60,10.96
127,44284,26172,2243,49.90,17.60
128,84908,21825,52,110.32,8.03
129,12040,26967,1886,49.00,11.85
130,50534,28512,1057,159.90,61.18
131,88561,20375,2717,120.00,27.39
132,16048,5646,326,21.50,11.98
133,24733,2255,3007,122.99,15.61
134,32574,6505,2423,72.99,19.75
135,91061,19786,2423,129.99,13.93
136,97223,25451,70,92.00,17.89
137,97223,25451,70,92.00,17.89
138,19333,2325,1892,33.89,8.40
139,19333,2325,1892,33.89,8.40
140,19333,2325,1892,33.89,8.40
141,19333,2325,1892,33.89,8.40
142,30294,5626,526,149.00,40.37
143,36218,28021,2694,20.30,16.79
144,188,32808,1902,179.90,15.01
145,188,32808,1902,179.90,15.01
146,68372,30630,831,109.90,12.27
147,68689,29240,183,89.00,25.90
148,24569,1055,1565,120.00,13.75
149,67832,19171,711,75.00,14.28
150,10465,8303,320,46.86,14.52
151,79111,27101,1393,96.00,14.84
152,26576,28669,1474,49.99,18.12
153,26576,28434,1474,24.99,13.58
154,26576,28434,1474,24.99,13.58
155,76189,31610,2001,120.10,16.60
156,16109,14329,652,69.90,16.25
157,41514,25023,2577,39.90,54.02
158,19415,8360,2800,159.90,20.31
159,33461,1488,513,540.00,16.22
160,51191,4264,1745,189.90,31.17
161,35612,3490,2606,14.90,8.27
162,56805,4357,623,43.90,11.85
163,52993,25950,730,139.00,87.28
164,15461,27665,1381,40.35,13.71
165,72791,11157,1888,469.00,20.85
166,16673,25417,2823,59.00,16.17
167,63212,2520,1382,35.90,15.79
168,63212,2520,1382,35.90,15.79
169,45413,3202,444,96.99,16.44
170,6925,2626,578,77.90,13.89
171,93439,11827,2373,229.99,20.80
172,98643,11683,2702,56.00,14.14
173,78218,14984,2827,69.99,11.99
174,1484,26467,1948,49.90,7.78
175,94470,18969,539,14.00,7.39
176,85452,1782,711,29.00,14.10
177,61928,2539,2991,99.00,43.06
178,65606,29409,1566,499.00,30.35
179,44206,16342,265,39.85,12.79
180,22997,25797,738,149.00,14.06
181,22169,5456,1672,179.98,12.46
182,58142,20611,1819,219.99,14.90
183,84450,8585,711,129.00,8.16
184,68674,21602,688,137.00,15.71
185,48708,12407,2543,37.00,10.96
186,51904,15856,2291,154.00,14.83
187,61430,19212,2153,253.52,82.86
188,83829,622,259,49.90,7.39
189,33539,22189,1305,148.90,13.95
190,57644,30201,141,64.90,18.69
191,17053,21630,1000,179.00,16.00
192,44123,16183,2494,27.90,15.10
193,99252,12731,426,39.00,16.11
194,89148,14369,937,7.00,14.10
195,52375,29328,510,269.00,10.70
196,11766,17514,279,99.90,17.95
197,12376,17077,70,69.90,15.24
198,49358,3871,893,89.90,23.13
199,11954,2234,2606,165.00,19.03
200,54432,8354,2423,57.99,11.73
201,82874,30586,1902,259.00,10.63
202,5844,26993,711,55.00,7.65
203,54760,17449,1801,133.00,16.69
204,71660,6263,665,35.90,18.23
205,40112,19456,1265,14.89,18.23
206,24035,8861,2950,99.00,13.00
207,16168,32735,1565,90.00,9.44
208,84140,7365,2753,43.49,27.39
209,40027,15421,2597,109.99,36.85
210,91277,21784,31,9.99,15.23
211,91277,21784,31,9.99,15.23
212,64517,14106,2681,28.50,34.15
213,53338,9000,2032,199.00,8.74
214,86086,15772,239,135.90,21.44
215,80679,30662,191,249.00,37.09
216,2497,1848,1747,49.99,15.56
217,32930,439,711,38.00,7.53
218,73428,7061,1301,85.00,11.62
219,57871,31715,242,117.30,25.66
220,1016,17758,1118,99.90,18.57
221,1016,1890,1118,99.90,14.35
222,54787,27286,974,18.00,7.87
223,68343,32310,2287,11.53,7.39
224,60802,26672,121,269.99,39.41
225,84430,8335,2011,89.99,14.80
226,98850,23054,2717,19.90,42.76
227,80210,29931,2669,166.90,13.47
228,19844,16109,1304,133.74,12.44
229,66742,12484,345,86.80,7.86
230,91517,260,674,62.00,8.59
231,80844,30632,1818,158.00,10.68
232,80844,5327,1818,308.00,31.16
233,15793,24373,2862,129.00,47.40
234,6197,11619,2153,143.54,21.49
235,70829,24060,714,39.99,18.23
236,70829,24060,714,39.99,18.23
237,6996,3180,1057,49.90,12.92
238,48540,29966,2070,119.90,23.34
239,84866,14767,2494,16.90,15.10
240,81637,29059,1113,29.99,15.10
241,16039,18880,716,30.99,34.15
242,58358,4392,937,84.99,15.34
243,1258,5626,526,149.00,45.12
244,96508,18944,2494,48.90,8.82
245,45100,31835,731,159.49,8.86
246,3286,5326,168,249.90,41.53
247,17885,19682,2522,24.89,7.75
248,88468,2775,937,53.99,7.78
249,57092,21272,31,15.99,7.39
250,7090,8189,163,24.50,11.85
251,85903,9960,752,179.00,22.99
252,15882,32066,688,37.90,21.43
253,47312,13228,2112,89.90,22.56
254,47312,13228,2112,89.90,22.56
255,47312,13228,2112,89.90,22.56
256,15303,18409,1326,88.34,29.08
257,2717,26428,1404,177.90,18.50
258,65291,658,1548,32.99,14.10
259,60925,26154,1565,69.90,0.00
260,89194,11392,70,109.90,12.27
261,29455,13036,2208,52.99,22.30
262,39946,10025,608,110.90,14.51
263,3726,32345,2072,35.90,12.48
264,66310,2765,259,39.00,7.53
265,63186,32273,2720,27.90,7.46
266,53888,12321,1588,579.00,65.34
267,90493,5560,2104,99.90,23.57
268,39409,29910,1801,37.00,19.32
269,77007,10604,423,116.60,30.66
270,40248,21544,711,49.00,19.25
271,24644,958,1950,27.90,9.26
272,54554,1161,2098,65.00,25.73
273,54024,2765,259,39.90,11.85
274,80064,3661,233,105.00,17.87
275,97965,25304,715,25.79,23.33
276,97965,25304,715,25.79,23.33
277,11543,23653,513,146.01,13.68
278,83181,3017,2552,189.90,26.61
279,90119,28399,744,139.65,26.26
280,41365,32120,1777,59.90,7.68
281,9815,12854,1382,13.65,15.23
282,74569,47,1749,31.90,16.11
283,79832,30413,988,33.99,16.60
284,16347,17071,626,158.90,14.59
285,99367,14929,2107,47.40,11.85
286,27947,32785,1406,50.00,21.19
287,78857,5640,1419,59.90,11.15
288,68576,20140,2421,199.00,39.66
289,68576,20140,2421,199.00,39.66
290,7058,10155,652,69.90,23.07
291,76098,23166,2124,50.21,15.10
292,19053,2657,610,39.90,16.60
293,19232,11268,1113,24.99,14.10
294,71718,30183,1035,130.00,19.01
295,61992,10227,937,89.99,7.88
296,64315,31824,167,69.00,15.69
297,24706,12825,2282,165.50,15.80
298,24706,29989,2783,175.91,52.69
299,24706,20430,2282,165.50,15.80
300,24706,9775,2282,165.50,15.80
301,2858,27547,2410,98.81,13.81
302,55720,4943,711,78.00,7.80
303,96150,20620,608,21.80,12.48
304,865,21486,2225,118.90,18.93
305,69548,28124,619,119.80,20.18
306,41719,13917,1565,45.00,7.39
307,27882,29301,681,449.00,20.39
308,71440,10732,714,139.85,16.61
309,71440,10732,714,139.85,16.61
310,52843,10915,786,18.90,12.48
311,47379,4931,1361,29.90,16.79
312,87784,29541,1257,39.90,15.10
313,26883,854,1383,59.00,13.07
314,45262,29538,2172,199.00,67.69
315,69206,20286,2098,32.00,7.39
316,32808,6530,1565,110.00,18.35
317,98835,1303,70,79.90,14.65
318,62834,3040,2267,24.99,14.10
319,67320,28093,2717,79.00,13.91
320,31266,18893,2243,59.90,17.67
321,9694,30903,786,19.90,15.10
322,45437,32072,127,158.00,15.20
323,45390,15823,2417,1050.61,25.13
324,69691,28921,2034,106.90,18.00
325,81847,11144,2428,362.45,25.12
326,31676,32551,714,44.55,11.74
327,16577,4289,466,14.99,15.10
328,16577,4289,466,14.99,15.10
329,16577,4289,466,14.99,15.10
330,16577,4289,466,14.99,15.10
331,45765,31593,1805,125.90,18.13
332,20343,3403,2669,99.90,26.84
333,22768,5626,526,149.00,40.37
334,40376,15854,237,19.90,14.10
335,73135,19012,2906,59.90,9.17
336,46663,18799,513,320.00,14.68
337,41615,15931,1392,59.90,14.59
338,32887,29943,1100,29.99,15.11
339,73438,22484,1850,69.00,21.17
340,16685,9987,262,56.00,18.69
341,7741,5257,1649,160.00,19.00
342,70765,28088,50,57.95,22.34
343,29379,835,141,64.90,20.18
344,29379,835,141,64.90,20.18
345,49016,21098,1837,849.00,23.52
346,36075,3102,1113,20.99,11.85
347,80520,20441,1745,19.45,14.52
348,35239,19448,1419,59.90,34.22
349,35239,19448,1419,59.90,34.22
350,43939,31603,576,64.90,15.33
351,84542,20117,2776,128.90,9.26
352,55396,28992,1539,189.90,13.77
353,91516,22796,233,250.00,97.56
354,98019,14928,89,94.90,35.98
355,71636,11107,665,27.90,20.80
356,71636,11107,665,27.90,20.80
357,22791,17342,1922,349.90,29.30
358,82403,22257,3073,110.99,33.23
359,76396,5863,2170,190.83,12.84
360,62526,13338,2991,99.50,35.07
361,14241,162,2543,104.00,14.82
362,53378,30782,661,79.00,15.30
363,48329,5661,139,61.99,24.56
364,14941,2006,1673,419.90,17.69
365,94439,25500,2010,299.00,23.17
366,24912,20223,513,175.00,19.33
367,58697,32947,1948,49.90,14.10
368,42460,6104,709,44.90,11.85
369,42460,6104,709,44.90,11.85
370,77999,12562,1099,38.95,15.37
371,54129,20074,3007,159.77,16.00
372,95856,22658,2225,132.90,19.03
373,45244,15993,2776,36.85,21.85
374,88493,8948,423,124.99,21.88
375,17020,5439,1113,94.99,13.33
376,82612,19121,233,32.99,16.11
377,81239,21488,2592,89.90,17.07
378,55938,13025,171,173.00,14.96
379,41179,17617,1664,44.90,16.11
380,87965,21972,1467,85.00,13.26
381,63289,11358,2243,49.90,13.37
382,44433,7826,709,54.99,21.18
383,43422,14649,139,66.99,22.97
384,96959,30706,1381,69.99,14.80
385,75937,3039,2321,268.90,19.98
386,54086,4392,937,84.99,16.35
387,68864,30552,1012,34.99,9.34
388,68864,30552,1012,34.99,9.34
389,68864,30552,1012,34.99,9.34
390,68864,30552,1012,34.99,9.34
391,95117,19370,70,77.90,23.35
392,77080,17014,2606,38.40,9.27
393,2934,24565,1672,69.00,17.22
394,30182,17089,2301,134.90,21.43
395,58760,12457,610,39.50,15.11
396,68184,30967,882,71.00,23.65
397,3043,16196,233,225.00,60.81
398,46100,24176,2460,189.00,32.07
399,96040,19866,1953,199.00,32.79
400,67864,25838,233,35.00,19.44
401,67864,25838,233,35.00,19.44
402,67864,25838,233,35.00,19.44
403,23044,6701,2255,49.90,14.52
404,88231,32329,1565,45.00,35.67
405,78671,6554,3084,39.97,18.38
406,78671,6554,3084,39.97,18.38
407,78671,6554,3084,39.97,18.38
408,19896,2053,1662,149.00,14.77
409,90921,18798,973,51.60,9.34
410,95267,32647,1968,146.90,19.72
411,95189,2626,578,79.90,9.71
412,24370,5234,2764,22.50,18.26
413,54621,15069,2791,11.90,16.79
414,54621,15069,2791,11.90,16.79
415,13735,30293,1548,19.99,10.96
416,48021,12856,1911,7.90,16.11
417,34154,32008,1672,85.71,18.40
418,75264,7101,1565,29.50,20.84
419,5679,31826,173,18.25,17.60
420,15282,10549,2540,142.00,8.02
421,15201,16479,1027,179.99,26.10
422,15201,16479,1027,179.99,26.10
423,51436,8960,938,154.90,15.25
424,16286,29498,1402,299.00,10.29
425,63847,3991,2111,126.99,18.14
426,92806,22100,2839,49.89,8.72
427,79380,27736,1006,8.00,11.85
428,21851,19370,70,84.00,10.90
429,78775,18210,233,78.00,15.85
430,36268,1134,620,229.99,35.37
431,18144,18582,2494,89.90,26.71
432,86585,8909,306,165.00,28.53
433,22496,11640,2370,199.00,20.12
434,57697,11776,2826,79.90,28.96
435,50980,2255,3007,122.99,9.06
436,70545,20433,2902,139.90,15.15
437,43452,2655,553,27.99,8.72
438,71929,3402,183,22.00,34.15
439,71929,3402,183,22.00,34.15
440,71929,3402,183,22.00,34.15
441,71929,3402,183,22.00,34.15
442,36158,19464,396,42.00,14.12
443,27407,14378,1675,27.90,16.79
444,15597,3340,2902,279.90,20.65
445,52111,25531,1653,14.90,15.23
446,10711,20783,1583,104.00,15.48
447,85315,11358,2243,49.00,17.67
448,85315,11358,2243,49.00,17.67
449,48026,24569,2305,59.90,14.51
450,50751,22024,345,110.00,18.65
451,96927,21575,2321,79.00,18.43
452,59393,2365,1736,39.90,14.10
453,61993,22784,2128,249.00,13.24
454,13618,14250,1139,379.00,79.94
455,90525,27207,2810,33.90,13.82
456,69173,11413,309,208.10,43.49
457,64091,9062,1805,593.36,98.13
458,33133,32574,1551,52.50,19.34
459,33133,32574,1551,52.50,19.34
460,31225,9085,1173,66.00,78.63
461,38117,14553,682,127.48,16.81
462,24294,8753,139,122.99,63.11
463,34405,8677,1246,49.00,15.44
464,34405,8677,1246,49.00,15.44
465,66313,3948,2011,29.99,7.87
466,81517,3611,1057,59.90,24.70
467,81517,23142,2134,62.00,24.70
468,41931,23506,1300,102.00,10.13
469,9725,13524,786,27.90,15.10
470,88846,31329,2810,196.00,11.98
471,83998,30524,2593,389.00,22.63
472,98904,12675,3033,119.99,16.47
473,47794,24349,1113,27.99,14.10
474,43146,22888,2,54.99,14.70
475,88497,6360,461,88.90,16.06
476,89551,24919,2417,899.00,21.20
477,94192,11051,1538,120.00,17.28
478,24705,13565,121,279.99,16.72
479,26943,691,2593,59.00,15.16
480,545,17094,1304,243.37,53.83
481,90435,21496,1899,249.48,16.50
482,18567,19121,233,35.00,19.32
483,18567,19121,233,35.00,19.32
484,33349,31665,513,99.90,0.00
485,2923,23520,1974,14.99,8.29
486,8361,6201,2153,109.73,16.53
487,84479,26364,1382,9.00,14.10
488,87806,7108,28,239.00,19.25
489,98898,19996,228,13.99,16.11
490,48501,19355,1474,29.99,16.79
491,26976,28698,422,189.99,27.41
492,72954,12716,711,55.00,15.83
493,57177,28559,1099,58.99,15.29
494,40584,4716,1308,99.90,17.18
495,57686,5376,2707,25.99,5.31
496,57686,13446,2707,25.99,9.57
497,65508,30673,2669,107.90,18.56
498,7642,31357,2243,53.90,33.93
499,7642,31357,2243,53.90,33.93
500,24711,5118,2243,49.90,12.48
501,63411,4047,574,185.81,17.06
502,52144,21046,2552,501.90,17.26
503,57364,1701,1745,97.90,16.94
504,93342,13205,1801,76.00,18.83
505,32444,28202,1448,15.32,18.00
506,50452,24570,2153,45.90,12.65
507,50452,23233,2153,45.90,12.71
508,50452,21243,2153,45.90,12.71
509,69374,7903,2243,53.90,0.00
510,69374,7903,2243,53.90,0.00
511,8348,4912,2992,21.99,15.10
512,46204,1729,2034,83.90,28.99
513,30101,20696,225,49.99,8.88
514,36920,26335,945,50.00,15.10
515,53549,6118,26,61.20,11.15
516,28043,20187,2051,81.90,15.32
517,75514,28304,524,79.90,12.90
518,20625,10148,517,27.99,14.08
519,56386,28357,1763,1820.00,81.62
520,25770,30272,2858,15.99,14.52
521,84235,4518,1801,240.00,14.70
522,79523,29348,526,89.99,38.47
523,14441,6798,1057,399.90,13.41
524,770,1099,524,89.90,17.88
525,770,11493,524,89.90,17.88
526,7109,7876,233,78.00,21.35
527,15674,13760,1015,28.80,8.36
528,31750,10399,1974,67.99,8.88
529,45953,15666,1045,65.00,25.73
530,62350,26937,2423,89.99,18.21
531,80960,25544,355,104.99,17.98
532,79696,22664,1048,13.99,7.78
533,36010,920,463,3.49,16.79
534,36010,920,463,3.49,16.79
535,52935,22034,422,29.99,16.32
536,2782,14767,2494,16.90,10.96
537,5753,18566,1718,63.00,23.35
538,5753,32674,2032,89.00,23.35
539,33017,31680,1738,159.00,19.21
540,64899,23463,121,99.99,16.95
541,55498,26679,2649,23.89,8.72
542,75591,3573,2,21.99,15.10
543,6033,25488,2321,188.00,16.07
544,8208,32949,2038,109.90,13.11
545,57951,14551,1335,59.90,14.73
546,54720,25194,13,139.90,16.74
547,13559,3948,2011,28.49,18.23
548,76465,17389,1570,154.91,46.67
549,76465,17389,1570,154.91,46.67
550,11485,7251,2423,99.99,11.90
551,96741,16518,2659,27.90,3.81
552,96741,653,852,21.33,25.39
553,11048,14834,2053,504.00,19.72
554,64421,22713,610,25.00,14.10
555,92956,18552,881,54.90,23.31
556,92956,18552,881,54.90,23.31
557,92956,18552,881,54.90,23.31
558,92956,18552,881,54.90,23.31
559,69723,13832,2038,5.53,11.85
560,69723,13832,2038,5.53,11.85
561,69723,13832,2038,5.53,11.85
562,69723,13832,2038,5.53,11.85
563,69723,13832,2038,5.53,11.85
564,60185,7830,1142,127.45,23.69
565,92367,24871,2156,29.00,8.88
566,60592,1849,1952,19.90,18.24
567,42598,1971,685,135.00,23.75
568,90683,29966,2070,119.90,15.72
569,88774,26241,2810,30.00,12.69
570,88774,26241,2810,30.00,12.69
571,36376,16199,1382,14.40,14.10
572,69532,25341,1248,79.99,14.31
573,70353,860,2255,129.90,18.34
574,61094,28398,1113,37.99,7.78
575,40315,13878,1673,79.00,15.30
576,10878,17136,3094,219.90,20.51
577,7481,24695,2717,19.90,12.69
578,84786,27892,242,169.00,20.09
579,84786,18602,242,147.90,16.71
580,7908,17048,1304,211.05,14.14
581,54196,16831,639,610.00,37.54
582,13632,22358,2717,129.00,38.45
583,65416,15166,31,16.00,7.78
584,25303,24122,1146,189.00,53.11
585,67725,23087,1468,12.99,18.23
586,54085,9998,2931,109.90,11.97
587,83230,18221,711,29.00,15.30
588,66629,27346,2931,159.90,8.37
589,22946,20006,524,59.90,9.26
590,41453,18406,1057,292.90,26.54
591,94599,22349,446,143.00,94.98
592,94599,22349,446,143.00,94.98
593,18358,18944,2494,52.90,9.09
594,17473,4570,1664,99.90,25.54
595,81749,29240,183,49.00,34.15
596,71343,8643,2153,99.90,24.90
597,42864,16410,2810,32.50,15.10
598,7946,7374,1866,15.00,7.78
599,94483,17501,70,230.00,16.36
600,96809,25461,677,79.99,9.76
601,30251,18335,1290,29.99,7.78
602,36380,22173,1027,219.99,15.14
603,69383,7746,937,59.99,7.78
604,25277,14625,10,120.00,7.87
605,48820,2870,1379,139.00,23.55
606,95775,21817,1484,149.90,8.30
607,26271,15788,1401,139.00,22.68
608,40577,13460,2423,99.99,12.09
609,6527,4649,2646,299.00,22.58
610,6527,4649,2646,299.00,22.58
611,18504,19786,2423,129.99,17.65
612,75734,14250,1139,379.00,36.96
613,41284,25129,711,49.00,11.85
614,15992,4830,1819,129.90,16.67
615,31865,14578,1886,36.90,34.15
616,52536,28411,97,45.00,17.19
617,11891,4877,1557,45.00,7.78
618,8981,5040,1974,29.99,7.78
619,2886,32058,576,84.90,18.52
620,32397,26154,1565,75.00,20.02
621,75041,1849,1952,19.00,18.23
622,54641,580,3064,34.99,7.78
623,82442,24022,2266,59.90,21.26
624,22808,23231,2301,85.90,17.85
625,24930,59,2473,64.90,19.42
626,20341,14217,2321,219.00,24.11
627,38154,28663,306,138.00,25.81
628,64858,7228,2494,30.90,15.10
629,52549,25379,665,31.90,16.79
630,49662,31671,1672,71.00,10.70
631,49662,31495,2701,101.00,26.75
632,94191,622,259,45.90,7.78
633,55145,13183,1854,35.00,16.11
634,55145,13183,1854,35.00,16.11
635,90278,6778,70,59.90,15.17
636,18461,5138,13,59.90,9.34
637,22676,6128,1066,49.80,7.39
638,22676,6128,1066,49.80,7.39
639,10062,1464,292,7.50,7.39
640,10062,1464,292,7.50,7.39
641,47507,4042,70,89.90,15.33
642,47507,3079,70,76.90,15.34
643,70523,14839,1974,24.99,15.28
644,73030,26154,1565,69.90,17.40
645,17149,6560,1290,29.99,34.15
646,8323,2827,2321,234.90,16.39
647,10293,5687,683,159.90,25.96
648,99291,18893,2243,49.90,17.60
649,37912,17743,524,24.90,9.09
650,37912,31212,524,24.90,9.09
651,17989,7157,731,162.00,11.74
652,60776,21757,386,43.90,18.41
653,29061,11610,70,189.00,23.25
654,31319,21555,2473,14.90,15.10
655,635,27368,937,56.99,15.15
656,46164,18358,888,75.00,16.16
657,131,28809,731,39.49,8.27
658,131,28809,731,39.49,8.27
659,55585,20323,651,44.90,15.11
660,57322,25903,2606,29.90,18.31
661,73288,29884,3008,55.90,9.94
662,5765,8925,2602,66.00,43.40
663,85279,32267,914,139.90,9.09
664,85279,3065,914,139.90,29.07
665,9888,32397,1868,56.80,18.28
666,22414,30309,312,190.90,17.10
667,15420,7853,2680,89.00,25.65
668,20177,7002,253,129.90,38.46
669,42045,24492,507,139.90,27.96
670,16174,12867,3008,132.90,20.17
671,14343,9938,1702,359.98,85.59
672,14343,9938,1702,359.98,85.59
673,6112,7276,1588,209.99,57.94
674,41694,32089,749,154.90,15.39
675,4496,6158,2810,44.00,12.97
676,75284,9533,2379,195.00,14.49
677,24315,1701,1745,97.90,16.94
678,30725,5362,1661,49.90,35.67
679,30119,15009,1442,579.99,16.96
680,16117,8588,663,59.99,12.76
681,65199,28970,2362,399.90,21.71
682,70521,23677,2323,42.90,15.10
683,807,21891,3028,320.00,58.91
684,20947,30030,2255,159.90,28.50
685,98842,1240,1570,133.90,29.34
686,50544,17893,1801,148.00,15.13
687,31256,24174,937,56.99,8.72
688,97684,23166,2196,47.65,7.39
689,48135,2893,1141,93.00,8.00
690,74769,15393,121,349.99,18.53
691,72710,5915,311,75.90,7.79
692,73676,1694,673,109.90,24.05
693,62357,1852,444,99.99,13.72
694,96065,25217,233,35.00,19.32
695,96065,25217,233,35.00,19.32
696,15742,3411,1000,249.99,18.00
697,14097,25410,357,152.00,15.81
698,32192,17257,70,79.90,27.51
699,15929,4199,1583,138.00,29.23
700,28390,858,1820,51.00,15.11
701,81364,11021,2524,738.90,25.62
702,64543,22867,2045,69.90,8.88
703,57603,23479,1264,579.00,24.50
704,57603,23479,1264,579.00,24.50
705,57603,23479,1264,579.00,24.50
706,71926,4828,544,79.90,38.83
707,16880,31877,2392,139.99,58.11
708,52381,16202,423,149.94,57.31
709,17450,20005,2421,299.99,14.35
710,67801,19190,2902,168.80,8.44
711,98906,13359,665,12.90,7.71
712,62716,23368,3018,199.90,13.69
713,62716,32073,408,187.20,20.54
714,41811,50,1113,34.99,15.10
715,119,19635,2038,42.90,15.10
716,42042,24667,233,69.99,9.36
717,42042,24667,233,69.99,9.36
718,92829,18455,2668,39.00,15.37
719,11320,14204,730,109.90,12.72
720,26615,3171,2416,12.88,8.27
721,18815,6896,2696,309.90,17.38
722,40047,27141,1083,39.00,16.60
723,72283,13562,1868,84.99,18.70
724,28102,8541,1270,465.00,34.69
725,14142,20074,3007,139.77,8.74
726,19881,15375,1629,84.90,13.03
727,19881,15375,1629,84.90,13.03
728,84034,17453,1250,109.99,19.74
729,79612,6530,1565,150.00,44.97
730,73210,4921,663,49.99,16.17
731,73210,15651,15,59.00,10.68
732,9315,18893,2243,59.00,17.66
733,25615,32035,449,99.90,21.19
734,45782,16732,2501,79.90,15.41
735,68877,5638,2288,104.90,24.86
736,92879,26056,2073,68.90,18.28
737,76168,1621,2569,110.00,15.52
738,59432,16688,731,25.89,22.98
739,76497,29482,2494,39.90,15.10
740,91751,18944,2494,52.90,11.87
741,9993,21881,721,29.99,12.79
742,73674,5080,2810,46.55,12.69
743,68277,30123,2298,629.90,21.66
744,21499,7493,2393,120.90,41.92
745,31090,18285,70,109.90,25.61
746,21989,16822,1928,44.60,14.52
747,90684,3308,423,192.97,33.59
748,90684,3308,423,192.97,33.59
749,90684,3308,423,192.97,33.59
750,83192,14546,2957,59.90,9.41
