shipment_key,order_key,warehouse_key,carrier,ship_date,delivery_date,shipping_cost
62,62,3,Dragonfly Express,2018-08-08 03:46:34,2018-08-09 15:10:37,35.72
63,63,1,Dragonfly Express,2017-11-18 06:17:27,2017-11-18 16:25:04,39.74
64,64,4,Stark Logistics,2018-02-20 16:03:09,2018-02-24 08:05:28,12.52
65,65,2,Loggi,2018-04-23 04:39:44,2018-04-24 14:33:24,42.11
66,66,5,RapidAir,2018-01-09 08:29:09,2018-01-12 19:21:17,26.19
67,67,5,Dragonfly Express,2018-02-11 14:23:38,2018-02-18 05:07:10,45.33
68,68,3,Correios,2018-06-19 02:47:36,2018-06-22 23:34:38,28.20
69,69,3,Correios,2018-06-14 22:21:14,2018-06-18 20:14:55,40.83
70,70,2,Correios,2018-07-17 18:57:41,2018-07-22 23:32:39,22.20
71,71,2,Dragonfly Express,2017-09-14 10:52:24,2017-09-15 08:23:27,34.94
72,72,2,Stark Logistics,2018-04-15 00:08:53,2018-04-18 16:35:39,42.93
73,73,4,Correios,2018-02-16 16:41:02,2018-02-22 09:35:17,40.36
74,74,2,RapidAir,2017-02-22 08:20:53,2017-02-28 22:24:01,7.73
75,75,4,Correios,2017-04-20 18:19:41,2017-04-27 13:10:24,24.29
76,76,4,Stark Logistics,2017-09-16 22:18:12,2017-09-17 19:57:29,21.61
77,77,3,Dragonfly Express,2018-07-30 10:26:07,2018-08-03 14:12:43,9.63
78,78,2,Stark Logistics,2017-08-11 12:43:15,2017-08-15 02:01:38,48.83
79,79,1,Loggi,2018-08-28 13:59:51,2018-09-02 09:14:40,21.30
80,80,5,Correios,2017-07-30 21:49:12,2017-08-06 04:11:56,29.39
81,81,1,Loggi,2017-12-24 18:37:24,2017-12-28 05:53:50,28.48
82,82,2,RapidAir,2017-04-08 17:46:25,2017-04-13 22:27:10,18.34
83,83,4,Correios,2017-05-10 10:20:11,2017-05-11 13:00:29,24.65
84,84,5,Correios,2017-04-22 19:08:25,2017-04-27 19:29:44,12.67
85,85,5,RapidAir,2017-10-17 02:36:42,2017-10-21 05:52:20,17.71
86,86,5,Dragonfly Express,2017-12-09 20:54:18,2017-12-12 15:49:16,25.90
87,87,2,Correios,2017-08-29 12:08:18,2017-09-03 09:52:03,37.51
88,88,5,Loggi,2018-03-01 03:47:10,2018-03-05 21:12:29,21.21
89,89,3,Loggi,2018-05-11 20:04:50,2018-05-12 16:03:41,34.46
90,90,3,Correios,2018-01-23 15:36:12,2018-01-24 16:09:11,34.62
91,91,4,Dragonfly Express,2018-05-04 08:11:53,2018-05-05 14:06:35,14.52
92,92,5,Dragonfly Express,2017-09-19 22:17:48,2017-09-23 03:39:21,46.67
93,93,4,Loggi,2018-04-13 09:19:45,2018-04-15 05:07:34,12.87
94,94,4,Loggi,2017-12-21 19:43:14,2017-12-23 20:37:32,28.88
95,95,4,RapidAir,2018-04-25 05:46:55,2018-04-30 12:59:58,19.80
96,96,2,Correios,2018-08-06 05:05:53,2018-08-10 20:54:36,5.42
97,97,2,Loggi,2018-05-16 17:56:48,2018-05-18 05:58:36,11.20
98,98,2,Loggi,2017-11-24 05:03:37,2017-11-25 15:54:09,28.45
99,99,4,RapidAir,2017-03-31 08:24:25,2017-04-01 16:04:39,25.67
100,100,5,Dragonfly Express,2018-06-05 11:51:03,2018-06-08 18:26:50,8.81
101,101,5,Dragonfly Express,2018-08-28 16:17:11,2018-09-02 18:11:26,11.18
102,102,3,Loggi,2017-05-18 04:00:07,2017-05-22 21:57:49,7.16
103,103,4,Correios,2018-08-02 08:48:29,2018-08-08 20:20:26,38.57
104,104,4,RapidAir,2018-08-04 13:18:33,2018-08-11 08:42:44,34.73
105,105,2,Stark Logistics,2018-03-03 21:24:18,2018-03-05 04:12:05,49.18
106,106,3,Loggi,2018-02-08 08:43:40,2018-02-11 18:51:29,21.37
107,107,4,Loggi,2017-01-29 21:45:59,2017-02-01 05:41:45,20.54
108,108,1,Stark Logistics,2018-01-29 08:18:11,2018-02-03 22:33:00,10.20
109,109,4,Loggi,2017-07-02 12:08:46,2017-07-09 00:59:15,44.25
110,110,1,RapidAir,2017-09-28 18:16:48,2017-10-05 09:03:50,25.71
111,111,1,RapidAir,2017-11-30 10:28:13,2017-12-05 20:06:38,12.43
112,112,3,RapidAir,2018-02-01 14:09:28,2018-02-05 21:06:51,45.32
113,113,4,Stark Logistics,2018-08-23 10:29:46,2018-08-24 03:56:17,16.52
114,114,5,Stark Logistics,2018-07-09 00:54:45,2018-07-14 21:22:51,8.21
115,115,1,Dragonfly Express,2018-05-10 02:25:53,2018-05-16 08:35:59,17.91
116,116,1,Loggi,2017-11-28 14:05:56,2017-12-02 15:11:18,19.03
117,117,5,Dragonfly Express,2017-09-29 21:45:00,2017-10-06 05:07:37,20.63
118,118,1,Dragonfly Express,2017-06-28 17:45:49,2017-06-28 18:33:18,24.31
119,119,4,Correios,2018-01-25 21:53:22,2018-01-31 23:52:31,42.11
120,120,5,Stark Logistics,2018-08-20 22:14:53,2018-08-21 23:45:01,33.25
121,121,5,Loggi,2018-01-30 15:23:58,2018-02-01 02:35:16,21.03
122,122,5,Correios,2018-04-02 05:02:49,2018-04-05 19:34:14,29.50
123,123,4,RapidAir,2018-03-09 17:22:13,2018-03-14 13:09:16,26.35
124,124,4,Dragonfly Express,2018-05-10 13:44:10,2018-05-16 19:05:59,49.80
125,125,4,Loggi,2017-03-31 12:49:31,2017-04-04 16:44:05,31.61
126,126,5,Loggi,2017-11-26 17:31:21,2017-12-03 03:59:48,24.47
127,127,2,Dragonfly Express,2018-04-26 21:04:28,2018-04-27 17:57:55,20.20
128,128,4,Dragonfly Express,2017-07-18 03:09:37,2017-07-21 04:10:06,19.48
129,129,1,RapidAir,2017-09-05 03:46:30,2017-09-06 15:14:15,12.57
130,130,1,Loggi,2017-11-23 10:55:23,2017-11-23 22:46:05,35.70
131,131,1,Correios,2017-10-22 08:07:48,2017-10-27 07:48:07,49.53
132,132,5,Stark Logistics,2018-07-24 09:33:35,2018-07-29 02:11:32,22.20
133,133,3,Dragonfly Express,2017-12-02 16:05:51,2017-12-07 11:07:09,31.00
134,134,1,Loggi,2018-03-27 17:46:38,2018-03-31 13:17:58,31.39
135,135,4,Correios,2018-01-10 21:10:58,2018-01-17 13:20:40,29.58
136,136,2,Loggi,2018-02-07 19:06:30,2018-02-09 18:11:15,15.75
137,137,2,RapidAir,2018-07-21 01:41:30,2018-07-24 10:23:47,17.18
138,138,1,Stark Logistics,2017-03-31 07:39:54,2017-04-05 11:50:49,39.09
139,139,4,Stark Logistics,2018-06-10 15:04:16,2018-06-15 13:16:52,33.54
140,140,3,RapidAir,2017-07-13 02:17:43,2017-07-14 13:00:53,34.21
141,141,4,RapidAir,2018-05-18 03:36:02,2018-05-24 03:24:17,7.57
142,142,1,Loggi,2018-07-08 16:28:31,2018-07-08 16:35:11,26.63
143,143,5,Loggi,2017-09-22 04:24:40,2017-09-26 22:32:36,38.38
144,144,2,RapidAir,2018-02-24 14:54:49,2018-03-01 06:16:54,21.81
145,145,5,Dragonfly Express,2018-01-13 10:29:38,2018-01-14 09:33:58,35.08
146,146,1,Loggi,2017-04-28 07:11:30,2017-04-30 18:51:54,18.81
147,147,4,Loggi,2017-11-30 06:47:26,2017-12-06 00:34:38,27.90
148,148,4,RapidAir,2018-05-13 22:43:56,2018-05-17 04:37:18,27.44
149,149,4,Dragonfly Express,2018-05-26 12:18:34,2018-05-26 16:25:37,22.87
150,150,3,Dragonfly Express,2017-11-26 21:25:11,2017-12-01 14:19:09,33.12
151,151,3,Correios,2017-11-19 00:46:14,2017-11-22 02:26:47,43.29
152,152,4,Loggi,2018-07-25 18:42:01,2018-07-26 06:18:22,14.24
153,153,2,RapidAir,2018-02-15 10:11:06,2018-02-22 03:53:41,25.08
154,154,1,Dragonfly Express,2017-05-02 11:25:08,2017-05-09 08:39:43,47.17
155,155,4,Stark Logistics,2018-01-12 21:54:51,2018-01-16 01:14:47,38.29
156,156,2,Stark Logistics,2017-05-16 15:23:13,2017-05-21 21:51:59,41.58
157,157,1,Correios,2017-07-24 07:56:47,2017-07-24 20:45:49,48.49
158,158,4,Loggi,2018-06-25 16:32:23,2018-06-26 12:56:43,13.00
159,159,3,Dragonfly Express,2018-07-04 21:03:55,2018-07-11 10:56:55,34.49
160,160,2,Dragonfly Express,2017-03-07 00:57:39,2017-03-10 10:40:44,46.33
161,161,2,RapidAir,2017-10-06 05:54:06,2017-10-12 12:45:37,20.95
162,162,3,Correios,2017-12-23 03:30:44,2017-12-23 19:14:19,29.19
163,163,4,RapidAir,2017-05-09 16:09:39,2017-05-14 15:29:08,29.23
164,164,1,RapidAir,2018-02-02 18:43:23,2018-02-04 14:13:14,45.23
165,165,5,Loggi,2018-06-04 03:27:33,2018-06-08 20:22:56,18.32
166,166,2,Dragonfly Express,2018-08-10 03:43:07,2018-08-15 01:14:57,14.43
167,167,4,Stark Logistics,2017-11-15 23:49:22,2017-11-21 17:16:38,19.27
168,168,3,Stark Logistics,2018-04-26 16:21:54,2018-04-27 01:40:33,22.37
169,169,3,RapidAir,2018-07-15 23:41:51,2018-07-17 04:30:18,23.41
170,170,4,Loggi,2018-05-31 11:36:18,2018-06-06 18:24:54,46.67
171,171,2,Correios,2017-12-04 13:44:41,2017-12-04 20:01:17,48.72
172,172,3,Stark Logistics,2018-03-31 05:09:14,2018-04-06 00:14:16,6.45
173,173,5,Correios,2018-06-27 09:36:20,2018-06-28 09:53:22,10.90
174,174,4,Dragonfly Express,2017-09-11 07:56:26,2017-09-15 23:08:02,37.67
175,175,3,Loggi,2018-04-17 08:29:31,2018-04-19 17:55:34,8.21
176,176,5,Correios,2018-01-14 03:59:14,2018-01-17 05:59:48,41.87
177,177,1,RapidAir,2018-04-04 20:32:34,2018-04-10 14:36:27,25.50
178,178,5,Stark Logistics,2017-09-26 21:00:28,2017-09-29 20:25:20,6.64
179,179,2,Dragonfly Express,2018-02-28 20:37:16,2018-03-07 08:17:38,37.45
180,180,4,Dragonfly Express,2017-04-25 09:29:45,2017-05-02 00:25:37,9.50
181,181,1,Loggi,2017-09-15 10:57:37,2017-09-21 01:54:34,14.50
182,182,4,Stark Logistics,2018-01-19 06:00:29,2018-01-19 19:32:16,44.75
183,183,2,Stark Logistics,2017-03-14 18:01:09,2017-03-17 22:03:07,8.04
184,184,4,Dragonfly Express,2017-12-21 21:59:00,2017-12-25 12:58:17,10.81
185,185,5,Dragonfly Express,2017-12-04 21:49:52,2017-12-05 04:41:56,19.59
186,186,1,Stark Logistics,2018-08-04 15:13:43,2018-08-11 04:23:02,9.36
187,187,1,Correios,2018-03-30 21:13:28,2018-04-04 18:53:47,14.45
188,188,3,Dragonfly Express,2017-05-19 07:19:55,2017-05-20 17:19:21,40.32
189,189,2,Dragonfly Express,2017-06-17 06:45:45,2017-06-21 05:40:57,33.34
190,190,2,Correios,2017-07-06 17:43:45,2017-07-13 11:06:53,25.23
191,191,3,Correios,2018-07-30 06:09:31,2018-08-02 03:42:06,13.04
192,192,5,Stark Logistics,2017-07-11 01:00:58,2017-07-14 23:14:20,19.81
193,193,1,RapidAir,2018-03-18 09:01:44,2018-03-25 08:21:58,31.50
194,194,3,Correios,2017-06-28 06:08:07,2017-07-01 04:51:47,46.24
195,195,3,RapidAir,2018-03-02 05:10:59,2018-03-07 18:27:39,36.71
196,196,4,Stark Logistics,2018-04-18 14:57:07,2018-04-20 02:18:14,21.68
197,197,1,Correios,2018-05-18 06:55:50,2018-05-19 00:14:18,33.80
198,198,5,RapidAir,2018-07-15 01:04:14,2018-07-21 23:27:27,44.44
199,199,4,Loggi,2017-08-03 18:36:37,2017-08-03 21:22:44,46.20
200,200,1,Stark Logistics,2018-07-22 16:53:40,2018-07-23 03:43:32,41.69
201,201,4,Dragonfly Express,2017-03-12 07:11:10,2017-03-12 22:15:30,12.93
202,202,5,Loggi,2017-12-12 11:11:34,2017-12-15 18:12:15,24.14
203,203,5,RapidAir,2018-08-03 00:47:21,2018-08-04 03:11:27,21.06
204,204,5,Loggi,2018-04-11 17:38:27,2018-04-13 21:47:22,12.01
205,205,3,Stark Logistics,2018-02-11 02:44:57,2018-02-13 16:39:40,31.69
206,206,2,Loggi,2017-04-29 20:17:23,2017-05-04 23:16:11,37.72
207,207,5,Stark Logistics,2017-12-09 05:28:47,2017-12-11 16:29:20,12.69
208,208,2,Correios,2017-12-01 15:35:00,2017-12-02 20:17:04,9.22
209,209,1,Loggi,2017-06-06 23:54:25,2017-06-13 02:22:39,8.10
210,210,4,Dragonfly Express,2017-09-15 08:46:26,2017-09-18 22:44:14,10.58
211,211,5,Stark Logistics,2018-07-24 02:22:37,2018-07-31 02:00:17,36.67
212,212,3,RapidAir,2018-06-04 18:50:15,2018-06-09 20:23:47,10.59
213,213,2,RapidAir,2018-05-25 04:42:01,2018-05-27 10:43:47,9.84
214,214,3,Stark Logistics,2018-02-05 14:37:01,2018-02-06 14:57:24,9.96
215,215,4,Stark Logistics,2018-05-19 00:36:33,2018-05-21 02:39:17,37.23
216,216,5,Dragonfly Express,2018-08-13 09:09:49,2018-08-13 09:21:21,22.36
217,217,5,Dragonfly Express,2018-04-18 20:42:55,2018-04-25 20:37:40,17.33
218,218,1,Stark Logistics,2017-09-29 08:41:11,2017-10-05 12:37:41,40.77
219,219,1,Correios,2018-02-08 15:40:38,2018-02-13 23:36:00,5.48
220,220,5,Correios,2017-11-19 05:58:26,2017-11-22 12:16:00,9.00
221,221,4,Stark Logistics,2018-02-02 12:05:03,2018-02-02 13:31:56,14.03
222,222,1,RapidAir,2018-01-12 04:39:30,2018-01-15 15:00:21,24.14
223,223,5,Dragonfly Express,2017-06-05 04:07:58,2017-06-07 19:05:10,48.29
224,224,4,Correios,2018-03-30 04:38:41,2018-04-01 03:40:11,31.07
225,225,1,RapidAir,2017-07-19 11:21:01,2017-07-20 05:33:45,31.64
226,226,5,Stark Logistics,2018-05-09 20:18:37,2018-05-15 22:50:56,11.02
227,227,2,Dragonfly Express,2018-08-11 06:46:56,2018-08-13 02:35:55,38.26
228,228,5,RapidAir,2018-04-18 12:01:57,2018-04-21 10:07:35,16.78
229,229,4,RapidAir,2017-04-25 07:09:06,2017-04-29 21:19:50,49.66
230,230,2,Loggi,2017-12-14 16:08:29,2017-12-17 02:25:17,14.44
231,231,2,Correios,2018-05-06 06:36:33,2018-05-10 19:35:35,43.13
232,232,1,Loggi,2017-11-20 02:08:33,2017-11-20 02:47:13,39.86
233,233,5,Loggi,2017-12-18 23:50:51,2017-12-21 15:26:19,13.96
234,234,2,Correios,2017-12-21 15:00:45,2017-12-22 13:41:17,22.94
235,235,2,RapidAir,2018-02-28 06:13:15,2018-03-04 16:12:18,15.48
236,236,1,Correios,2018-03-21 05:17:21,2018-03-25 02:26:53,48.91
237,237,5,Loggi,2017-01-07 14:06:35,2017-01-09 02:02:44,9.20
238,238,5,Loggi,2017-11-27 11:20:23,2017-11-28 23:05:48,10.59
239,239,2,RapidAir,2017-12-27 09:59:49,2018-01-03 07:53:39,25.57
240,240,2,RapidAir,2018-04-01 00:54:53,2018-04-04 04:53:30,16.16
241,241,1,Correios,2017-12-02 04:15:31,2017-12-07 17:51:25,13.36
242,242,4,Dragonfly Express,2018-04-03 21:24:33,2018-04-05 15:59:36,48.97
243,243,1,Correios,2017-04-23 07:25:49,2017-04-26 19:21:19,10.21
244,244,4,Loggi,2018-01-26 04:11:55,2018-01-30 07:30:28,49.57
245,245,2,Stark Logistics,2018-05-09 16:32:11,2018-05-09 21:55:16,18.08
246,246,4,Correios,2018-06-18 13:33:06,2018-06-24 19:19:26,21.05
247,247,5,Dragonfly Express,2017-07-05 20:30:18,2017-07-06 19:02:33,18.68
248,248,2,Stark Logistics,2018-01-25 06:05:58,2018-01-25 12:46:30,8.08
249,249,1,Dragonfly Express,2018-01-17 07:31:45,2018-01-18 17:29:15,43.79
250,250,1,Dragonfly Express,2018-02-24 00:50:11,2018-02-26 17:19:58,12.83
251,251,3,RapidAir,2018-04-01 10:40:12,2018-04-07 16:45:18,26.52
252,252,1,Correios,2017-02-13 11:28:36,2017-02-16 07:55:06,47.25
253,253,5,RapidAir,2018-02-03 15:24:53,2018-02-04 13:42:35,41.81
254,254,3,Stark Logistics,2018-06-07 20:38:00,2018-06-11 04:10:53,39.39
255,255,5,Loggi,2017-11-20 10:08:27,2017-11-24 18:52:31,34.39
256,256,3,Correios,2018-02-01 17:02:21,2018-02-04 02:40:33,13.65
257,257,5,RapidAir,2018-03-09 13:48:24,2018-03-10 16:03:56,18.60
258,258,2,Dragonfly Express,2018-01-12 20:12:45,2018-01-16 01:20:26,45.08
259,259,2,RapidAir,2017-02-11 05:30:23,2017-02-14 17:07:32,12.71
260,260,5,Dragonfly Express,2018-07-01 09:51:58,2018-07-02 02:34:22,34.94
261,261,5,Stark Logistics,2018-08-11 06:58:31,2018-08-16 09:38:39,33.32
262,262,3,RapidAir,2017-10-05 18:33:34,2017-10-08 05:54:07,30.85
263,263,3,RapidAir,2018-04-12 13:49:11,2018-04-13 12:40:10,11.88
264,264,4,Correios,2018-02-11 11:32:27,2018-02-12 08:13:05,18.49
265,265,2,Dragonfly Express,2018-07-13 06:03:32,2018-07-17 11:16:12,13.71
266,266,3,Dragonfly Express,2017-11-25 06:10:27,2017-11-26 13:50:42,24.08
267,267,3,RapidAir,2017-11-19 07:25:21,2017-11-21 02:46:03,35.59
268,268,2,Loggi,2017-09-02 06:57:39,2017-09-08 18:02:41,37.31
269,269,2,Stark Logistics,2018-05-15 14:06:39,2018-05-19 01:51:15,7.69
270,270,1,Stark Logistics,2018-01-23 05:28:11,2018-01-24 18:23:54,37.57
271,271,2,Loggi,2018-06-18 11:04:01,2018-06-21 02:33:03,47.62
272,272,3,Correios,2018-07-30 21:18:34,2018-08-02 10:47:31,7.81
273,273,3,Correios,2017-11-30 23:53:09,2017-12-07 01:19:19,36.24
274,274,3,Loggi,2018-02-13 18:12:42,2018-02-16 08:39:33,37.44
275,275,5,Loggi,2018-03-20 02:45:53,2018-03-24 06:27:38,15.44
276,276,3,Dragonfly Express,2018-06-03 19:41:12,2018-06-04 18:29:09,26.89
277,277,5,Stark Logistics,2018-05-09 00:37:06,2018-05-10 15:43:38,13.88
278,278,1,Loggi,2018-03-11 20:37:39,2018-03-18 10:15:38,25.74
279,279,5,RapidAir,2018-02-28 14:58:53,2018-03-07 01:03:18,47.19
280,280,1,RapidAir,2018-01-24 23:03:21,2018-01-25 12:11:56,28.80
281,281,2,Loggi,2018-06-10 02:51:36,2018-06-13 02:01:33,44.84
282,282,1,RapidAir,2017-11-13 00:12:16,2017-11-18 09:20:45,18.79
283,283,2,Dragonfly Express,2018-06-29 10:44:10,2018-07-04 10:17:20,45.16
284,284,1,Correios,2018-08-01 22:47:11,2018-08-04 23:41:31,33.63
285,285,4,Dragonfly Express,2017-11-26 04:01:53,2017-11-27 09:33:04,6.75
286,286,3,Correios,2018-02-05 22:13:37,2018-02-10 11:41:14,17.69
287,287,5,RapidAir,2017-04-29 20:12:36,2017-05-03 11:55:52,5.08
288,288,4,Loggi,2018-04-11 10:24:46,2018-04-15 06:34:51,38.51
289,289,1,Stark Logistics,2017-11-14 21:40:51,2017-11-19 17:13:16,16.89
290,290,5,RapidAir,2018-07-24 02:12:29,2018-07-29 04:12:06,37.24
291,291,1,RapidAir,2018-04-06 07:53:00,2018-04-06 23:37:57,47.77
292,292,2,Stark Logistics,2018-01-14 15:35:57,2018-01-20 07:17:50,34.38
293,293,2,RapidAir,2017-07-25 18:10:11,2017-07-26 09:13:05,13.28
294,294,1,Correios,2018-03-09 08:53:13,2018-03-13 08:35:02,24.05
295,295,5,Dragonfly Express,2018-06-08 07:48:21,2018-06-13 02:46:12,11.63
296,296,4,Dragonfly Express,2018-02-16 03:04:37,2018-02-17 13:21:53,36.55
297,297,1,Correios,2017-06-30 23:50:58,2017-07-03 05:47:12,31.28
298,298,2,Loggi,2018-01-21 12:19:50,2018-01-24 08:27:12,17.70
299,299,5,Dragonfly Express,2018-04-01 01:49:33,2018-04-03 11:42:47,16.90
300,300,3,Stark Logistics,2018-06-29 14:42:11,2018-07-04 04:46:06,40.15
301,301,1,RapidAir,2018-03-16 22:29:47,2018-03-21 15:48:11,39.36
302,302,4,RapidAir,2018-03-29 16:57:46,2018-04-03 22:59:29,10.41
303,303,2,Correios,2018-08-03 22:25:40,2018-08-06 01:51:59,39.31
304,304,1,Loggi,2017-01-22 07:39:18,2017-01-26 09:00:07,17.49
305,305,5,Correios,2017-09-28 03:58:14,2017-10-03 04:04:53,20.39
306,306,2,Dragonfly Express,2018-03-02 16:28:30,2018-03-03 20:43:38,27.07
307,307,1,RapidAir,2017-09-14 11:02:08,2017-09-14 18:21:07,40.19
308,308,1,RapidAir,2018-08-11 16:10:57,2018-08-17 14:37:45,8.54
309,309,5,Dragonfly Express,2017-12-08 13:37:04,2017-12-14 23:37:01,12.96
310,310,2,Dragonfly Express,2018-05-30 13:34:59,2018-06-03 05:09:52,46.94
311,311,5,Loggi,2017-06-28 07:23:47,2017-06-30 05:50:19,48.81
312,312,3,Stark Logistics,2017-12-08 17:35:36,2017-12-11 08:37:24,17.43
313,313,1,RapidAir,2018-03-11 11:42:29,2018-03-13 01:28:16,26.82
314,314,4,Stark Logistics,2017-09-14 04:40:41,2017-09-15 02:12:42,22.60
315,315,2,Loggi,2018-06-13 19:13:22,2018-06-20 11:52:56,32.24
316,316,5,Dragonfly Express,2018-07-05 22:59:20,2018-07-09 09:32:38,40.50
317,317,1,Correios,2017-05-23 18:27:24,2017-05-24 14:08:38,27.21
318,318,5,RapidAir,2017-11-30 11:32:21,2017-12-07 07:53:06,45.94
319,319,3,Stark Logistics,2018-01-14 23:36:56,2018-01-15 23:13:31,46.86
320,320,2,Stark Logistics,2017-08-24 22:04:24,2017-08-27 21:13:23,13.47
321,321,2,Loggi,2017-09-11 10:46:19,2017-09-14 06:39:06,38.01
322,322,1,Loggi,2018-08-24 05:20:59,2018-08-30 23:52:48,42.24
323,323,2,Loggi,2018-05-30 11:07:16,2018-05-31 01:27:05,37.98
324,324,3,Stark Logistics,2017-05-21 09:25:52,2017-05-21 12:48:48,13.42
325,325,3,RapidAir,2016-10-07 22:30:34,2016-10-12 07:04:45,37.73
326,326,4,Correios,2017-07-28 22:08:42,2017-07-31 00:53:36,48.74
327,327,4,RapidAir,2017-12-06 21:49:26,2017-12-10 02:20:02,43.87
328,328,3,RapidAir,2018-03-09 06:49:12,2018-03-15 19:45:12,22.85
