payment_key,order_key,payment_type,payment_installments,payment_value
194,15288,credit_card,1,12.22
195,58485,credit_card,4,139.87
196,41374,credit_card,12,257.10
197,27075,credit_card,3,269.46
198,8336,credit_card,1,40.00
199,52174,credit_card,10,350.09
200,11937,credit_card,6,134.55
201,76119,credit_card,3,112.73
202,85109,boleto,1,72.05
203,71821,credit_card,1,0.67
204,84267,credit_card,2,77.77
205,63712,credit_card,2,26.68
206,37745,credit_card,1,371.42
207,10287,credit_card,6,225.71
208,56617,credit_card,3,103.79
209,11427,boleto,1,65.00
210,88250,voucher,1,69.80
211,97583,voucher,1,20.09
212,52254,credit_card,1,125.41
213,90036,boleto,1,95.99
214,80918,credit_card,2,25.33
215,42075,credit_card,1,52.57
216,60747,credit_card,2,145.58
217,63943,credit_card,3,49.70
218,20462,credit_card,1,47.43
219,55186,credit_card,2,168.57
220,93334,credit_card,1,133.81
221,55011,voucher,1,1.23
222,64194,boleto,1,123.82
223,72973,credit_card,3,283.66
224,41171,credit_card,1,89.88
225,65177,boleto,1,32.38
226,41736,credit_card,1,43.08
227,4059,credit_card,1,254.58
228,319,voucher,1,48.91
229,14128,credit_card,4,48.22
230,45499,credit_card,6,67.58
231,90101,credit_card,10,311.18
232,1592,credit_card,4,154.14
233,80752,credit_card,2,333.68
234,46326,boleto,1,404.88
235,25405,boleto,1,44.77
236,38688,voucher,1,1302.42
237,22441,credit_card,10,645.80
238,59295,credit_card,1,186.39
239,16290,credit_card,10,208.41
240,29324,debit_card,1,76.39
241,35081,credit_card,2,67.42
242,10231,credit_card,4,232.05
243,75025,boleto,1,69.33
244,77199,credit_card,3,641.20
245,63372,boleto,1,41.86
246,40848,voucher,1,50.00
247,14208,credit_card,1,106.96
248,15994,credit_card,10,2288.31
249,43863,boleto,1,69.90
250,48992,boleto,1,88.08
251,53423,credit_card,4,117.39
252,16419,debit_card,1,194.91
253,19296,debit_card,1,68.89
254,11409,credit_card,2,151.51
255,54884,credit_card,1,54.85
256,60068,credit_card,1,103.68
257,82914,debit_card,1,225.63
258,8868,boleto,1,39.60
259,6068,credit_card,10,159.18
260,57053,credit_card,1,234.43
261,88664,boleto,1,44.83
262,11344,credit_card,4,205.44
263,36503,credit_card,1,13.55
264,63605,credit_card,1,221.96
265,38527,credit_card,1,52.38
266,89326,credit_card,9,131.47
267,22324,credit_card,2,38.06
268,8830,voucher,1,35.00
269,10610,credit_card,3,143.65
270,71746,credit_card,3,86.73
271,39904,credit_card,5,118.35
272,58593,credit_card,1,341.58
273,90950,credit_card,2,105.42
274,23093,credit_card,4,68.16
275,30295,credit_card,10,357.97
276,31310,voucher,1,2.99
277,97342,boleto,1,92.57
278,49753,credit_card,2,68.35
279,66732,credit_card,13,197.23
280,39143,credit_card,3,153.67
281,94325,credit_card,3,46.43
282,80573,credit_card,4,102.03
283,67911,credit_card,5,119.45
284,15133,credit_card,1,44.23
285,98500,credit_card,1,67.50
286,84866,voucher,1,8.75
287,27631,credit_card,2,44.27
288,37391,credit_card,1,37.15
289,17704,credit_card,2,114.13
290,10910,credit_card,1,396.97
291,85632,credit_card,10,185.85
292,11093,credit_card,3,62.11
293,52938,credit_card,2,25.23
294,54580,credit_card,5,153.22
295,59095,debit_card,1,145.01
296,92372,boleto,1,70.89
297,11223,credit_card,6,114.34
298,95431,credit_card,2,31.38
299,66912,credit_card,5,256.50
300,4295,boleto,1,341.40
301,92391,credit_card,1,143.99
302,37187,voucher,1,84.88
303,97249,credit_card,8,232.27
304,35887,credit_card,5,194.00
305,32296,credit_card,1,260.57
306,72779,credit_card,1,49.59
307,76538,credit_card,3,196.55
308,16030,boleto,1,245.94
309,12713,voucher,1,72.42
310,11688,credit_card,2,217.15
311,3181,credit_card,4,152.28
312,25821,credit_card,3,72.34
313,95798,credit_card,5,128.95
314,67348,credit_card,1,56.85
315,42956,credit_card,1,20.29
316,39986,boleto,1,171.75
317,32874,credit_card,1,85.82
318,91603,boleto,1,56.05
319,84886,boleto,1,26.09
320,2525,credit_card,1,41.17
321,88861,boleto,1,37.25
322,56739,credit_card,5,135.13
323,93457,credit_card,5,477.45
324,73160,credit_card,2,440.12
325,59135,credit_card,1,67.70
326,76760,boleto,1,168.51
327,27336,boleto,1,31.86
328,49008,boleto,1,40.87
329,25835,credit_card,10,109.59
330,35452,credit_card,3,206.87
331,94648,credit_card,1,134.38
332,55465,credit_card,1,56.06
333,25424,credit_card,3,264.08
334,52453,credit_card,10,240.77
335,69244,credit_card,2,91.72
336,83912,credit_card,4,49.01
337,12560,boleto,1,107.87
338,82801,credit_card,3,62.01
339,38026,credit_card,1,36.69
340,96197,credit_card,3,35.00
341,27435,credit_card,8,256.37
342,87987,credit_card,1,47.84
343,19551,credit_card,5,125.87
344,87250,credit_card,1,42.39
345,8115,credit_card,5,117.53
346,51068,credit_card,1,43.28
347,34499,credit_card,4,144.54
348,34063,boleto,1,126.48
349,29864,credit_card,4,125.29
350,94756,credit_card,2,229.74
351,21246,credit_card,1,124.60
352,12591,boleto,1,143.86
353,96894,voucher,1,56.89
354,55948,boleto,1,46.78
355,27661,voucher,1,3.98
356,2066,credit_card,3,72.66
357,63180,boleto,1,50.10
358,726,boleto,1,85.79
359,37422,boleto,1,63.70
360,11792,credit_card,10,1586.47
361,83141,credit_card,3,433.07
362,23704,credit_card,10,642.02
363,80586,credit_card,4,263.95
364,63499,boleto,1,134.99
365,45885,credit_card,1,57.89
366,94505,credit_card,1,383.99
367,61641,boleto,1,159.31
368,79224,credit_card,1,756.91
369,65863,credit_card,7,156.22
370,60371,credit_card,10,132.95
371,33373,boleto,1,48.27
372,39288,credit_card,5,107.35
373,58212,credit_card,10,110.20
374,69556,credit_card,8,368.92
375,73567,boleto,1,106.85
376,23065,credit_card,8,281.50
377,93663,credit_card,2,54.25
378,45289,credit_card,5,121.78
379,3390,credit_card,2,102.26
380,56550,boleto,1,90.62
381,89264,boleto,1,75.69
382,38522,debit_card,1,42.86
383,79663,credit_card,1,35.70
384,42361,credit_card,10,444.25
385,27027,credit_card,1,69.16
386,11940,voucher,1,30.00
387,74098,credit_card,2,65.71
388,82844,credit_card,1,29.29
389,25010,credit_card,1,37.74
390,62385,voucher,1,30.00
391,7364,credit_card,2,145.90
392,25278,credit_card,1,79.88
393,76702,credit_card,5,108.00
394,27701,credit_card,6,348.74
395,1823,credit_card,6,88.78
396,55476,credit_card,4,953.71
397,82771,credit_card,6,125.77
398,88638,credit_card,3,64.05
399,17416,boleto,1,127.69
400,21349,credit_card,1,62.42
401,94387,credit_card,5,55.69
402,58556,credit_card,7,146.13
403,93070,credit_card,5,349.99
404,9786,credit_card,1,91.28
405,68526,boleto,1,108.64
406,4514,credit_card,2,158.98
407,213,credit_card,1,20.75
408,32316,boleto,1,72.90
409,61574,credit_card,3,543.83
410,82091,credit_card,2,67.12
411,78038,credit_card,6,139.07
412,59923,boleto,1,126.68
413,54790,credit_card,1,41.42
414,33374,boleto,1,203.16
415,71536,credit_card,8,540.02
416,78759,boleto,1,368.60
417,35522,credit_card,4,107.78
418,61484,credit_card,10,387.27
419,58949,credit_card,10,107.23
420,9010,credit_card,2,101.25
421,97503,credit_card,1,26.09
422,82572,boleto,1,244.35
423,69069,credit_card,10,117.85
424,34440,credit_card,3,171.32
425,76246,credit_card,10,202.44
426,81861,boleto,1,73.03
427,91402,credit_card,4,264.67
428,72805,credit_card,1,68.70
429,14673,boleto,1,55.13
430,88251,credit_card,2,92.99
431,45116,credit_card,3,36.00
432,85277,credit_card,1,17.87
433,54729,credit_card,1,58.38
434,89414,voucher,1,50.00
435,14219,credit_card,10,1995.69
436,27503,credit_card,3,130.14
437,85059,boleto,1,710.23
438,76550,credit_card,1,68.00
439,39499,credit_card,5,59.51
440,42142,credit_card,5,371.94
441,23892,credit_card,10,667.99
442,41378,credit_card,1,63.89
443,8342,credit_card,4,49.34
444,22650,boleto,1,147.00
445,2183,credit_card,1,354.64
446,45568,credit_card,4,59.71
447,53794,credit_card,8,408.66
448,52888,credit_card,5,51.66
449,49300,credit_card,2,386.46
450,75063,credit_card,2,69.54
451,65778,credit_card,1,21.94
452,65512,credit_card,1,52.34
453,20896,credit_card,1,114.25
454,27392,credit_card,2,162.83
455,93080,credit_card,1,172.92
456,88513,credit_card,7,81.72
457,80260,credit_card,2,151.79
458,89113,credit_card,4,243.62
459,43174,boleto,1,56.42
460,50205,credit_card,4,45.13
461,96065,boleto,1,108.64
462,18477,credit_card,4,64.51
463,42888,credit_card,8,193.50
464,73292,boleto,1,110.63
465,88522,credit_card,5,200.55
466,31540,credit_card,1,41.71
467,1130,credit_card,1,54.43
468,45680,credit_card,3,77.64
469,89404,boleto,1,280.08
470,77175,credit_card,5,101.34
471,28134,credit_card,1,77.57
472,38197,credit_card,4,60.20
473,49428,boleto,1,48.10
474,49038,boleto,1,76.02
475,65449,credit_card,2,84.56
476,1743,voucher,1,20.00
477,89284,credit_card,4,48.16
478,14292,debit_card,1,265.41
479,40269,credit_card,5,127.53
480,44507,credit_card,2,128.73
481,80470,credit_card,3,37.37
482,24634,credit_card,5,150.15
483,38019,credit_card,2,36.16
484,71992,credit_card,4,198.00
485,37386,credit_card,5,112.40
486,2609,credit_card,1,35.40
487,2958,credit_card,6,189.98
488,74629,credit_card,2,228.60
489,13447,credit_card,8,314.21
490,13917,credit_card,1,22.29
491,52458,credit_card,8,257.30
492,19584,credit_card,6,162.99
493,41399,boleto,1,51.03
494,96218,credit_card,12,190.09
495,48042,credit_card,7,374.24
496,63437,credit_card,5,53.15
497,20173,credit_card,2,88.20
498,42610,voucher,1,25.90
499,54113,credit_card,1,46.81
500,65910,boleto,1,131.47
501,53537,credit_card,3,258.71
502,88669,credit_card,1,84.23
503,4633,credit_card,10,156.73
504,38711,boleto,1,69.90
505,49568,boleto,1,48.13
506,88517,credit_card,6,187.15
507,72056,credit_card,3,69.99
508,42895,voucher,1,25.00
509,25164,credit_card,2,162.10
510,20190,credit_card,1,57.11
511,35245,credit_card,1,154.87
512,83964,credit_card,4,236.81
513,65970,credit_card,1,102.53
514,84849,credit_card,3,65.10
515,85357,boleto,1,93.64
516,97177,boleto,1,64.09
517,29465,credit_card,5,279.40
518,93863,credit_card,5,205.43
519,57938,credit_card,4,89.57
520,45838,boleto,1,75.07
521,12736,credit_card,4,63.23
522,24837,credit_card,1,0.52
523,48875,credit_card,10,231.27
524,24722,boleto,1,41.69
525,45687,credit_card,4,69.41
526,2877,credit_card,1,72.75
527,98208,credit_card,2,24.29
528,73102,credit_card,5,88.49
529,66273,credit_card,7,71.66
530,81369,credit_card,2,80.81
531,7739,credit_card,2,132.82
532,70137,credit_card,7,394.07
533,31257,credit_card,2,165.50
534,61017,credit_card,2,98.47
535,1532,credit_card,2,49.77
536,21476,credit_card,8,180.91
537,54915,credit_card,4,40.63
538,37702,debit_card,1,71.63
539,1881,credit_card,5,262.94
540,57188,credit_card,3,62.22
541,86508,credit_card,5,311.57
542,54323,debit_card,1,93.22
543,74747,boleto,1,100.21
544,77290,credit_card,4,125.43
545,41929,boleto,1,80.55
546,9497,credit_card,2,373.44
547,60831,credit_card,3,62.31
548,33187,debit_card,1,36.35
549,11908,credit_card,2,29.38
550,49601,credit_card,10,102.47
551,23364,credit_card,3,130.00
552,97861,credit_card,5,69.13
553,22314,credit_card,1,86.24
554,13898,credit_card,1,74.29
555,14992,credit_card,7,70.72
556,57393,credit_card,3,199.00
557,7914,credit_card,3,340.47
558,75384,credit_card,4,48.74
559,16590,credit_card,2,28.08
560,93129,voucher,1,59.90
561,86643,credit_card,1,166.29
562,51364,boleto,1,51.10
563,12873,credit_card,1,67.83
564,51491,credit_card,3,164.35
565,39723,boleto,1,79.09
566,97102,boleto,1,93.69
567,9613,credit_card,2,59.82
568,48467,credit_card,3,159.03
569,38133,credit_card,9,92.57
570,17035,credit_card,4,42.77
571,7244,credit_card,8,453.74
572,59781,credit_card,3,234.08
573,91533,credit_card,2,67.62
574,8381,credit_card,1,19.33
575,73728,credit_card,3,143.18
576,75507,credit_card,4,112.83
577,14531,boleto,1,85.92
578,77770,credit_card,4,102.05
579,60757,credit_card,3,134.12
580,93325,credit_card,1,112.13
581,60110,credit_card,1,70.75
582,23852,credit_card,7,77.60
583,47739,credit_card,1,197.04
584,96631,credit_card,1,93.18
585,26558,boleto,1,44.72
586,74052,credit_card,1,26.38
587,59715,debit_card,1,149.14
588,56627,credit_card,4,106.32
589,34650,credit_card,8,246.96
590,90969,credit_card,1,22.29
591,77006,credit_card,3,57.48
592,12969,credit_card,4,105.28
593,43665,credit_card,8,203.54
594,75033,credit_card,2,330.40
595,40100,boleto,1,108.68
596,893,boleto,1,415.93
597,97467,credit_card,10,314.21
598,63857,credit_card,1,206.08
599,20635,credit_card,1,27.70
600,32093,boleto,1,19.48
601,74431,credit_card,2,121.09
602,35853,credit_card,1,206.76
603,64860,credit_card,1,142.21
604,31243,boleto,1,73.34
605,80583,credit_card,1,72.62
606,73251,credit_card,1,86.24
607,90520,boleto,1,230.10
608,43753,boleto,1,206.14
609,41347,boleto,1,212.73
610,98704,credit_card,1,94.82
611,32489,boleto,1,126.44
612,67168,voucher,1,140.08
613,68002,credit_card,1,68.87
614,62206,credit_card,2,87.58
615,39972,credit_card,10,305.19
616,64217,credit_card,5,161.88
617,35719,debit_card,1,88.08
618,77355,credit_card,3,92.50
619,99366,credit_card,1,43.00
620,7177,credit_card,2,116.36
621,94623,boleto,1,64.48
622,70647,boleto,1,37.69
623,66368,credit_card,2,150.52
624,18330,credit_card,6,314.30
625,6812,credit_card,8,396.35
626,18300,debit_card,1,98.33
627,72048,credit_card,1,120.92
628,497,credit_card,1,76.17
629,30620,credit_card,1,104.43
630,98369,credit_card,1,105.94
631,63071,credit_card,3,110.04
632,73289,boleto,1,730.95
633,95470,credit_card,4,128.77
634,6701,credit_card,8,82.10
635,8054,boleto,1,53.39
636,98987,credit_card,3,61.79
637,19021,boleto,1,86.83
638,68607,credit_card,1,45.30
639,15844,credit_card,1,25.50
640,72264,voucher,1,103.79
641,10822,credit_card,6,114.28
642,78130,credit_card,2,57.78
643,68006,credit_card,1,124.15
644,33331,credit_card,3,64.10
645,45592,credit_card,10,179.92
646,15037,boleto,1,40.01
647,26480,credit_card,5,104.27
648,68117,credit_card,8,307.96
649,32105,credit_card,2,31.29
650,29513,credit_card,1,38.13
651,82248,voucher,1,52.01
652,28032,credit_card,1,35.05
653,48808,credit_card,8,186.49
654,49061,credit_card,4,99.95
655,40675,credit_card,4,215.62
656,99417,credit_card,3,206.20
657,25150,boleto,1,55.06
658,74582,credit_card,1,21.04
659,70057,credit_card,1,26.45
660,98242,credit_card,1,127.53
661,91256,credit_card,10,223.14
662,65615,credit_card,2,56.41
663,78345,boleto,1,566.63
664,54725,credit_card,2,39.41
665,70494,credit_card,6,148.64
666,36785,credit_card,4,64.00
667,81074,credit_card,3,151.09
668,1458,boleto,1,93.91
669,73617,credit_card,2,71.14
670,10892,credit_card,3,188.06
671,43654,credit_card,2,257.21
672,49797,credit_card,4,692.94
673,39465,credit_card,8,181.10
674,61663,boleto,1,202.26
675,43841,credit_card,3,164.15
676,55360,credit_card,10,137.13
677,2881,credit_card,1,2.01
678,82897,boleto,1,272.58
679,24271,credit_card,4,87.36
680,89988,voucher,1,16.54
681,72049,credit_card,4,234.19
682,2614,boleto,1,86.37
683,72815,boleto,1,33.00
684,29333,credit_card,1,10.89
685,84680,credit_card,4,84.14
686,37613,boleto,1,43.28
687,1815,credit_card,1,47.95
688,80908,boleto,1,76.08
689,62450,boleto,1,104.37
690,91790,credit_card,1,69.61
691,69228,credit_card,3,121.09
692,35993,credit_card,7,238.65
693,5486,credit_card,4,181.59
694,39589,credit_card,2,135.26
695,1611,credit_card,3,51.09
696,6086,credit_card,3,1783.44
697,64886,credit_card,3,145.01
698,50820,credit_card,10,231.27
699,13400,boleto,1,70.03
700,54424,credit_card,10,1432.92
701,36200,voucher,1,45.24
702,93549,voucher,1,50.00
703,12339,credit_card,1,64.01
704,9332,credit_card,6,148.18
705,31961,credit_card,1,171.53
706,85157,credit_card,3,86.15
707,78701,debit_card,1,22.79
708,81143,credit_card,2,58.16
709,13091,boleto,1,149.42
710,80104,credit_card,1,44.53
711,41985,credit_card,2,152.82
712,41373,credit_card,8,82.92
713,12535,boleto,1,66.69
714,47418,boleto,1,52.75
715,38928,credit_card,5,105.94
716,14441,credit_card,8,413.31
717,65540,credit_card,3,112.09
718,11450,credit_card,4,186.36
719,19456,credit_card,3,165.22
720,59621,credit_card,3,49.02
721,40834,debit_card,1,173.68
722,69669,credit_card,2,205.07
723,13123,credit_card,1,21.04
724,10377,credit_card,2,132.68
725,52734,credit_card,1,36.09
726,57534,boleto,1,66.44
727,86353,boleto,1,161.62
728,25666,credit_card,1,27.75
729,75034,credit_card,1,91.28
730,30236,voucher,1,81.93
731,27827,credit_card,2,167.92
732,1569,credit_card,1,61.36
733,69004,credit_card,2,60.00
734,21604,credit_card,3,39.01
735,61640,credit_card,3,39.78
736,94063,credit_card,2,64.23
737,81890,credit_card,4,186.92
738,78489,credit_card,2,43.29
739,23612,credit_card,1,59.13
740,90685,credit_card,3,33.51
741,68093,debit_card,1,33.10
742,73913,voucher,1,148.06
743,28617,credit_card,2,189.56
744,25373,credit_card,5,105.38
745,90229,boleto,1,69.06
746,62111,voucher,1,85.24
747,88458,credit_card,5,179.46
748,89826,credit_card,1,168.35
749,61026,voucher,1,100.00
750,94597,credit_card,1,77.89
751,80432,credit_card,1,99.43
752,20455,credit_card,1,407.90
753,33520,voucher,1,15.00
754,56245,credit_card,2,424.04
755,34193,credit_card,3,157.20
756,33036,credit_card,4,162.03
757,66599,credit_card,8,188.50
758,40817,credit_card,1,65.47
759,26394,credit_card,1,39.42
760,10462,credit_card,5,365.32
761,1476,credit_card,6,65.11
762,55298,credit_card,10,188.34
763,74959,boleto,1,35.40
764,71180,credit_card,10,590.72
765,21549,boleto,1,36.75
766,51344,credit_card,2,81.73
767,85690,credit_card,1,17.86
768,20742,boleto,1,108.97
769,21637,credit_card,10,569.66
770,92473,credit_card,4,48.13
771,31153,credit_card,2,63.10
772,25970,boleto,1,39.42
773,49641,boleto,1,74.03
774,96840,boleto,1,66.78
775,17671,credit_card,1,36.59
776,52696,credit_card,5,272.64
777,23326,credit_card,1,64.34
778,55533,boleto,1,49.05
779,42873,credit_card,7,163.69
780,66188,credit_card,6,443.85
781,91578,credit_card,6,165.31
782,46906,credit_card,10,1180.51
783,25953,credit_card,1,706.84
784,8001,voucher,1,20.00
785,89610,credit_card,1,135.97
786,66588,credit_card,1,56.99
787,54895,credit_card,1,43.58
788,85529,credit_card,4,48.15
789,65394,credit_card,1,76.87
790,46448,credit_card,1,2.78
791,2709,credit_card,2,123.59
792,63855,boleto,1,128.07
793,65892,credit_card,2,185.84
794,2148,credit_card,1,85.81
795,17916,credit_card,1,149.54
796,53626,credit_card,1,32.38
797,84848,credit_card,1,23.38
798,29654,credit_card,1,98.86
799,29475,credit_card,8,124.21
800,97332,credit_card,6,191.58
801,90791,credit_card,2,123.04
802,79654,credit_card,1,26.38
803,90975,credit_card,2,71.49
804,41211,credit_card,1,153.98
805,30023,credit_card,1,55.91
806,11841,credit_card,6,86.06
807,16408,credit_card,1,33.10
808,70123,credit_card,10,360.29
809,71842,credit_card,10,105.24
810,34433,credit_card,3,114.85
811,56098,voucher,1,0.01
812,75040,credit_card,1,65.57
813,36265,credit_card,3,88.90
814,89446,credit_card,1,76.78
815,72102,credit_card,10,680.96
816,33826,voucher,1,27.91
817,22382,credit_card,2,61.79
818,28479,credit_card,1,40.96
819,41421,credit_card,2,149.00
820,94842,credit_card,7,75.70
821,39645,credit_card,4,356.90
822,27488,credit_card,2,165.96
823,49354,credit_card,2,61.19
824,90070,credit_card,1,43.37
825,75817,credit_card,2,40.86
826,22458,credit_card,1,84.81
827,36523,voucher,1,8.24
828,16860,credit_card,3,191.93
829,11337,credit_card,1,32.72
830,51520,boleto,1,32.77
831,76631,credit_card,5,50.50
832,38485,credit_card,3,37.05
833,80258,credit_card,1,70.36
834,56563,credit_card,1,38.00
835,66981,boleto,1,196.81
836,88640,boleto,1,46.84
837,63635,credit_card,10,367.20
838,79388,credit_card,4,195.36
839,17382,credit_card,7,144.80
840,97149,boleto,1,28.62
841,37146,boleto,1,160.74
842,14254,voucher,1,103.59
843,41177,credit_card,1,10.39
844,91469,credit_card,1,31.75
845,48524,credit_card,5,116.23
846,41439,credit_card,4,40.43
847,55863,boleto,1,66.64
848,40810,voucher,1,17.01
849,70881,boleto,1,189.96
850,57400,boleto,1,170.37
851,84295,credit_card,2,50.90
852,25682,credit_card,1,133.64
853,85419,boleto,1,543.29
854,36744,credit_card,2,42.75
855,54960,credit_card,2,161.01
856,68911,boleto,1,72.83
857,62026,boleto,1,1605.14
858,8768,boleto,1,130.60
859,17521,credit_card,1,69.67
860,15207,credit_card,2,70.97
861,23608,credit_card,10,255.76
862,9620,credit_card,4,75.40
863,95710,credit_card,3,109.93
864,10688,credit_card,1,71.14
865,49764,credit_card,3,113.33
866,32541,credit_card,1,292.86
867,92655,credit_card,2,129.15
868,53482,credit_card,7,177.67
869,26789,credit_card,1,27.48
870,88365,credit_card,1,140.94
871,96363,boleto,1,23.00
872,31426,credit_card,1,49.09
873,6482,credit_card,1,84.79
874,42155,boleto,1,111.02
875,21448,credit_card,1,42.44
876,96899,credit_card,1,210.56
877,56160,credit_card,4,42.74
878,6904,boleto,1,50.10
879,41208,credit_card,1,67.23
880,76230,credit_card,4,46.66
881,74078,credit_card,1,201.05
882,8308,credit_card,4,81.47
883,36679,boleto,1,79.69
884,81382,credit_card,4,45.12
